11713	11782	1	trnL1	tRNA	1.600000073301928e-17	global	1
3855	3923	1	trnM	tRNA	5.100000198494719e-15	global	1
3781	3853	-1	trnQ	tRNA	1.499999973677505e-14	global	1
5219	5284	-1	trnC	tRNA	7.599999731107421e-14	global	1
5114	5186	-1	trnN	tRNA	1.4000000431949738e-13	global	1
3715	3783	1	trnI	tRNA	2.8000000863899477e-13	global	1
2675	2749	1	trnL2	tRNA	3.299999975971829e-13	global	1
14104	14172	-1	trnE	tRNA	3.7000001044777686e-13	global	1
5285	5350	-1	trnY	tRNA	4.5000000904391046e-13	global	1
4963	5030	1	trnW	tRNA	4.999999980020986e-13	global	1
6907	6975	-1	trnS2	tRNA	1.0999999739205735e-12	global	1
7739	7806	1	trnK	tRNA	1.4000000160899195e-12	global	1
17	83	1	trnF	tRNA	2.499999990010493e-12	global	1
9432	9501	1	trnG	tRNA	5.099999849517145e-12	global	1
6982	7050	1	trnD	tRNA	1.3000000381735433e-11	global	1
11586	11654	1	trnH	tRNA	1.3000000381735433e-11	global	1
15390	15455	-1	trnP	tRNA	1.5999999936067155e-11	global	1
1041	1105	1	trnV	tRNA	2.999999901276418e-11	global	1
15316	15384	1	trnT	tRNA	6.999999885293207e-11	global	1
9849	9916	1	trnR	tRNA	7.499999926663392e-11	global	1
5041	5110	-1	trnA	tRNA	2.099999951710174e-09	global	1
11655	11713	1	trnS1	tRNA	1.5999999547489097e-08	global	1
11713	11782	1	trnL1	tRNA	1.600000073301928e-17	global	1
3855	3923	1	trnM	tRNA	5.100000198494719e-15	global	1
3781	3853	-1	trnQ	tRNA	1.499999973677505e-14	global	1
5219	5284	-1	trnC	tRNA	7.599999731107421e-14	global	1
5114	5186	-1	trnN	tRNA	1.4000000431949738e-13	global	1
3715	3783	1	trnI	tRNA	2.8000000863899477e-13	global	1
2675	2749	1	trnL2	tRNA	3.299999975971829e-13	global	1
14104	14172	-1	trnE	tRNA	3.7000001044777686e-13	global	1
5285	5350	-1	trnY	tRNA	4.5000000904391046e-13	global	1
4963	5030	1	trnW	tRNA	4.999999980020986e-13	global	1
6907	6975	-1	trnS2	tRNA	1.0999999739205735e-12	global	1
7739	7806	1	trnK	tRNA	1.4000000160899195e-12	global	1
17	83	1	trnF	tRNA	2.499999990010493e-12	global	1
9432	9501	1	trnG	tRNA	5.099999849517145e-12	global	1
6982	7050	1	trnD	tRNA	1.3000000381735433e-11	global	1
11586	11654	1	trnH	tRNA	1.3000000381735433e-11	global	1
15390	15455	-1	trnP	tRNA	1.5999999936067155e-11	global	1
1041	1105	1	trnV	tRNA	2.999999901276418e-11	global	1
15316	15384	1	trnT	tRNA	6.999999885293207e-11	global	1
9849	9916	1	trnR	tRNA	7.499999926663392e-11	global	1
5041	5110	-1	trnA	tRNA	2.099999951710174e-09	global	1
11655	11713	1	trnS1	tRNA	1.5999999547489097e-08	global	1
1107	2674	1	rrnL	rRNA	0.0	global	1
84	1040	1	rrnS	rRNA	0.0	global	1
1107	2674	1	rrnL	rRNA	0.0	global	1
84	1040	1	rrnS	rRNA	0.0	global	1
